Species	Date_described	Marker	Version	ITS_GenBank_Accession	Genbank_species_names	reference	date_genbank_entry	Tax_ID	Marker_complete	genbank_entry_len	start	stop	Comments_on_ITS_region	ITS_Clade	sub-clade	UK	Geographical_distribution	Recorded_Host	Preferred_environment	DNA_only	Comment_General	Temp._Optima	Temp._Maxima	Cox	Evidence_type	Assertion_method	Source	Xref_accession	Confidence	Notes	Change_note
Phytophthora lateralis	1942	ITS	1	HQ643263	Phytophthora_lateralis_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M.,Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A.DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer Mol Ecol Resour 11 (6), 1002-1011 (2011)"	16-Jan-15	129355		798	1	170	"recent - Schlenzig, Green"	8	c	Scotland	Widespread	Cypress sp.	Gardens		Increasing in frequency in semi-natural plantings	15-24	26								
Phytophthora leersiae	1992	ITS	1	na					NO					na		Not in UK															
Phytophthora lepironiae	1942	ITS	1	na					NO					na		Not in UK															
Phytophthora litchii	2007	ITS	1	GU111615	Phytophthora_litchii	" Ann,P.J., Tsai,J.N., Huang,J.H., Wang,Y.T. and Chiu,Y.H. title: Direct Submission journal: Submitted (21-SEP-2009) Plant Pathology Division, Agricultural Research Institute, 189 Jhongjheng Rd., Wufong Township, Taichung 41301, Taiwan medline id:  pubmed id:  comment:  "	14-Sep-17	100870	Yes	892	45	224		4		Not in UK	Asia	Litchi	crops		was a downy mildew										
Phytophthora litoralis	2011	ITS	1	HQ012948	Phytophthora_litoralis	" Jung,T., Stukely,M.J., Hardy,G.E., White,D., Paap,T., Dunstan,W.A. and Burgess,T.I. title: Multiple new Phytophthora species from ITS Clade 6 associated with natural ecosystems in Australia: evolutionary and ecological implications journal: Persoonia 26, 13-39 (2011) medline id:  pubmed id: 22025801 comment:  location: [0:816] "	01-Aug-11	977741	Yes	816	1	192		6		Not in UK															
Phytophthora macilentosa	2014	ITS	1	KF192700	Phytophthora_macilentosa_isolate	" Yang,X., Copes,W.E. and Hong,C. title: Two novel species representing a new clade and cluster of Phytophthora journal: Fungal Biol 118 (1), 72-82 (2014) medline id:  pubmed id: 24433678 comment:  location: [0:772] "	15-Jan-14	1401296	Yes	772	1	159		9		Not in UK	"Mississippi, USA"	Nursery reservoir	unknown												
Phytophthora macrochlamydospora	1991	ITS	1	KP070720	Phytophthora_macrochlamydospora_isolate	" Scarlett,K., Daniel,R., Shuttleworth,L., Roy,B., Bishop,T.F.A. and Guest,D.I. title: Phytophthora in the Gondwana Rainforests of Australia World Heritage Area journal: Australas. Plant Pathol. (2015) In press medline id:  pubmed id:  comment: Publication Status: Available-Online prior to print location: [0:788] "	10-Jul-15	67591	Yes	788	1	149		9	b	Not in UK															
Phytophthora meadii	1918	ITS	1	GU993903	Phytophthora_meadii_isolate	" Ristaino,J.B. and Hu,C.-H. title: A key to the common Phytophthora species (Lucid v3.4) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:779] "	02-May-10	192975	Yes	779	1	159		2	a	Not in UK															
Phytophthora medicaginis	1991	ITS	1	FJ801480	Phytophthora_medicaginis_clone	" Coffey,M.D., Xu,E., Cunningham,I.M. and Sarhan,E.A. title: ITS Sequences from the World Phytophthora Collection (WPC) for the Phytophthora Database (PI) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:794] "	02-May-09	54510	Yes	794	1	171		8	a	Not in UK															
Phytophthora megakarya	1979	ITS	1	AF266782	Phytophthora_megakarya	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:783] "	17-Dec-15	4795		783	1	179		4		Not in UK						21-27	27								
Phytophthora megasperma	1931	ITS	1	AF541895	Phytophthora_megasperma	" Brasier,C.M., Cooke,D.E., Duncan,J.M. and Hansen,E.M. title: Multiple new phenotypic taxa from trees and riparian ecosystems in Phytophthora gonapodyides-P. megasperma ITS Clade 6, which tend to be high-temperature tolerant and either inbreeding or sterile journal: Mycol. Res. 107 (PT 3), 277-290 (2003) medline id:  pubmed id: 12825496 comment:  location: [0:813] "	15-May-12	4788	Yes	813	1	193	different forms known	6		Scotland	Widespread	Crops	Multiple		Widely found in temperate regions - probably widespread	18-27	27								
Phytophthora megasperma	1931	ITS	1	AF541899	Phytophthora_megasperma	" Brasier,C.M., Cooke,D.E., Duncan,J.M. and Hansen,E.M. title: Multiple new phenotypic taxa from trees and riparian ecosystems in Phytophthora gonapodyides-P. megasperma ITS Clade 6, which tend to be high-temperature tolerant and either inbreeding or sterile journal: Mycol. Res. 107 (PT 3), 277-290 (2003) medline id:  pubmed id: 12825496 comment:  location: [0:813] "	15-May-12	4788	Yes	813	1	193	different forms known	6		Scotland	Widespread	Crops	Multiple		Widely found in temperate regions - probably widespread	18-27	27								
Phytophthora melonis	2007	ITS	1	AF266767	Phytophthora_melonis	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:826] "	17-Dec-15	120023		826	1	199		7	b	Not in UK															
Phytophthora mengei	2009	ITS	1	EU748545	Phytophthora_sp._CH-2008b	" Gallegly,M. and Hong,C. title:  journal: (in) PHYTOPHTHORA: IDENTIFYING SPECIES WITH MORPHOLOGY AND DNA FINGERPRINTS. APS Press, St Paul, MN, USA (2008), In press medline id:  pubmed id:  comment:  location: [0:753] "	21-Jan-10	540037	Yes	753	1	140		2		Not in UK	USA	Avocado			Avocado stem cankers										
Phytophthora mexicana	1923	ITS	1	HQ261620	Phytophthora_mexicana_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:752] "	22-Jun-12	459882	Yes	752	1	140		2		Not in UK															
Phytophthora mirabilis	1986	ITS	1	AF266777	Phytophthora_mirabilis	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:794] "	17-Dec-15	129356		794	1	186		1		Not in UK						18-20	24								
Phytophthora mississippiae	2013	ITS	1	KF112852	Phytophthora_mississippiae_isolate	" Yang,X., Copes,W.E. and Hong,C. title: Phytophthora mississippiae sp. nov., a new species recovered from irrigation reservoirs at a plant nursery in Mississippi journal: J Plant Pathol Microbiol 4 (5), 1000180 (2013) medline id:  pubmed id:  comment:  location: [0:818] "	11-Sep-13	1396423	Yes	818	1	194		6		Not in UK	USA							KF112861							
Phytophthora morindae	2010	ITS	1	FJ469147	Phytophthora_morindae_isolate	" Nelson,S.C. and Abad,Z.G. title: Phytophthora morindae, a new species causing black flag disease on noni (Morinda citrifolia L) in Hawaii journal: Mycologia 102 (1), 122-134 (2010) medline id:  pubmed id: 20120235 comment:  location: [0:811] "	14-Jan-10	581215	Yes	811	1	168		10		Not in UK						21-27	27								
Phytophthora moyootj	2014	ITS	1	KJ372256	Phytophthora_moyootj	" Burgess,T.I. title: Re-evaluation of the Phytophthora alticola/P. arenaria species complex journal: Unpublished medline id:  pubmed id:  comment:  location: [0:818] "	26-Jan-16	1577959	Yes	818	1	194		6		Not in UK	SW Australia	Soil only	Wetlands		Soil and vehicle mud and water	25-30	32	KJ396702							
Phytophthora multivesiculata	1998	ITS	1	AF266790	Phytophthora_multivesiculata	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:803] "	17-Dec-15	129357		803	1	190		2	c	Not in UK															
Phytophthora multivora	2009	ITS	1	FJ237521 	Phytophthora_multivora	" Scott,P.M., Burgess,T.I., Barber,P.A., Shearer,B.L., Stukely,M.J., Hardy,G.E. and Jung,T. title: Phytophthora multivora sp. nov., a new species recovered from declining Eucalyptus, Banksia, Agonis and other plant species in Western Australia journal: Persoonia 22, 1-13 (2009) medline id:  pubmed id: 20198133 comment:  location: [0:761] "	01-Aug-13	596104	Yes	761	1	151	RHS data	2		UK	n/a	n/a	n/a		Reported in Royal Horticultural Society data										
Phytophthora nagaii	2014	ITS	1	AB688356	Phytophthora_nagaii	" Rahman,M.Z., Uematsu,S., Coffey,M.D., Uzuhashi,S., Suga,H. and Kageyama,K. title: Re-evaluation of Japanese Phytophthora isolates based on molecular phylogenetic analyses journal: Mycoscience 55, 314-327 (2014) medline id:  pubmed id:  comment:  "	26-Jul-14	1525714		835	1	203	Strawberry	7		Scotland	Single finding	Water only	n/a	DNA only	Reported on Roses in Japan only to date	28	33	DNA evidence IGB							
Phytophthora nemorosa	2003	ITS	1	AY332654	Phytophthora_nemorosa_18S	" Hansen,E.M., Reeser,P., Davidson,J.M., Garbelotto,M., Ivors,K.L., Douhan,L. and Rizzo,D.M. title: Phytophthora nemorosa, a new species causing cankers and leaf blight of forest trees in California and Oregon, USA journal: Mycotaxon 88, 129-138 (2003) medline id:  pubmed id:  comment:  location: [0:821] "	02-Aug-03	239968	Yes	821	31	204		3		Not in UK						15-20	21								
Phytophthora nicotianae	1896	ITS	1	AF266776	Phytophthora_nicotianae	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:804] "	17-Dec-15	4790		804	1	195	AS nursery survey	1		Scotland	Limited	Ornamentals	Nursery		Limited findings but may spread in warming climate. Same as phytophthora parasitica										
Phytophthora nicotianae	1896	ITS	1	KJ494916	Phytophthora_nicotianae_isolate	" Zheng,W. and Feng,S. title: Analysis on genetic diversity of Phytophtora parasitica var. nicotianae in Henan journal: Unpublished medline id:  pubmed id:  comment:  location: [0:891] "	25-Feb-16	4790	Yes	891	31	223	AS nursery survey	1		Scotland	Limited	Ornamentals	Nursery		Limited findings but may spread in warming climate										
Phytophthora niederhauserii	2014	ITS	1	AY550915	Phytophthora_niederhauserii_isolate	" Abad,G.Z. and Abad,J.A. title: APS Abstracts Submitted for Presentation at the 2003 APS Annual Meeting journal: Phytopathology 93 (6 SUPPL), S1-S96 (2003) medline id:  pubmed id: 18944040 comment:  location: [0:826] "	14-Mar-04	266018	Yes	826	1	199		7	b	Not in UK	Widespread	many hosts			Widely found in temperate & warmer regions - probably widespread	30	37								
Phytophthora obscura	2012	ITS	1	HQ917910	Phytophthora_obscura_isolate	" Grunwald,N.J., Werres,S., Goss,E.M., Taylor,C.R. and Fieland,V.J. title: Phytophthora obscura sp. nov., a new species of the novel Phytophthora subclade 8d journal: Plant Pathol. 61 (3), 610-622 (2012) medline id:  pubmed id:  comment:  location: [0:809] "	13-Aug-12	1104319	Yes	809	1	171	like syringae	8	d	Scotland	Single finding	Water only	n/a	DNA only	Reported on Kalmia in USA and in soil in Germany	20-25	27	HQ917878 							
Phytophthora occultans 	2015	ITS	1	JX978155	Phytophthora_occultans	" Man In 't Veld,W.A., Rosendahl,K.C., van Rijswick,P.C., Meffert,J.P., Westenberg,M., van de Vossenberg,B.T., Denton,G. and van Kuik,F.A. title: Phytophthora terminalis sp. nov. and Phytophthora occultans sp. nov., two invasive pathogens of ornamental plants in Europe journal: Mycologia 107 (1), 54-65 (2015) medline id:  pubmed id: 25261495 comment:  location: [0:782] "	18-Feb-15	1385620	Yes	782	1	162	new species - plant trade	2	a	UK	Single finding	"Ornamentals, Buxus"	Nursery		Little data available										
Phytophthora ornamentata	2015	ITS	1	KP863496	Phytophthora_ornamentata_isolate	" Scanu,B., Linaldeddu,B.T., Deidda,A. and Jung,T. title: Diversity of Phytophthora Species from Declining Mediterranean Maquis Vegetation, including Two New Species, Phytophthora crassamura and P. ornamentata sp. nov journal: PLoS ONE 10 (12), E0143234 (2015) medline id:  pubmed id: 26649428 comment: Publication Status: Online-Only location: [0:819] "	17-Dec-15	1696062	Yes	819	1	195		6		Not in UK	"Sardinia, Italy"	Pistacia rhizosphere soil	Forests		Decline in Maquis vegetation	25	32.5-<35								
Phytophthora oryzo-bladis	2001	ITS	1	na					NO					na		Not in UK															
Phytophthora pachypleura	2014	ITS	1	KC855330	Phytophthora_sp._1	" Henricot,B. title: Phytophthora pachypleura sp. nov., a new species affecting Aucuba and other ornamentals in the United Kingdom journal: Unpublished medline id:  pubmed id:  comment:  location: [0:760] "	30-Dec-13	1380738	Yes	760	1	150	ornamental 	2		UK	Limited 	Spotted Laurel	Nursery		Reported from many gardens - likely spread via plant trade	25	35								
Phytophthora palmivora	1910	ITS	1	GU111659	Phytophthora_palmivora	" Ann,P.J., Tsai,J.N., Huang,J.H., Wang,Y.T. and Chiu,Y.H. title: Direct Submission journal: Submitted (21-SEP-2009) Plant Pathology Division, Agricultural Research Institute, 189 Jhongjheng Rd., Wufong Township, Taichung 41301, Taiwan medline id:  pubmed id:  comment:  "	14-Sep-17	4796	Yes	902	56	234	same sequence as P. banihashemiana_KP050544	4		Not in UK															
Phytophthora parsiana	2008	ITS	1	AY659736	Phytophthora_parsiana_isolate	" Mostowfizadeh-Ghalamfarsa,R., Cooke,D.E. and Banihashemi,Z. title: Phytophthora parsiana sp. nov., a new high-temperature tolerant species journal: Mycol. Res. 112 (PT 7), 783-794 (2008) medline id:  pubmed id: 18501580 comment:  location: [0:765] "	01-Jul-08	544909	Yes	765	1	149	known its diversity	9		Not in UK															
Phytophthora parsiana	2008	ITS	1	AY659737	Phytophthora_parsiana_isolate	" Mostowfizadeh-Ghalamfarsa,R., Cooke,D.E. and Banihashemi,Z. title: Phytophthora parsiana sp. nov., a new high-temperature tolerant species journal: Mycol. Res. 112 (PT 7), 783-794 (2008) medline id:  pubmed id: 18501580 comment:  location: [0:768] "	01-Jul-08	544909	Yes	768	1	152	known its diversity	9		Not in UK															
Phytophthora parsiana	2008	ITS	1	AY659739	Phytophthora_parsiana_isolate	" Mostowfizadeh-Ghalamfarsa,R., Cooke,D.E. and Banihashemi,Z. title: Phytophthora parsiana sp. nov., a new high-temperature tolerant species journal: Mycol. Res. 112 (PT 7), 783-794 (2008) medline id:  pubmed id: 18501580 comment:  location: [0:768] "	01-Jul-08	544909	Yes	768	2	152	known its diversity	9		Not in UK															
Phytophthora parvispora	2014	ITS	1	KC478667	Phytophthora_parvispora	" Scanu,B., Hunter,G.C., Linaldeddu,B.T., Franceschini,A., Maddau,L., Jung,T. and Denman,S. title: A taxonomic re-evaluation reveals that Phytophthora cinnamomi and P. cinnamomi var. parvispora are separate species journal: For. Pathol. 44 (1), 1-20 (2014) medline id:  pubmed id:  comment:  location: [0:837] "	07-Apr-14	540036	Yes	837	1	198	distinct from P cinn parvispora	7		Not in UK	"Europe, Brazil"	wide range	"Nursery, ornamental, forestry"		"From nursery in Sardinia, planting in Brazil"	27	37								
Phytophthora phaseoli	1889	ITS	1	AF266778	Phytophthora_phaseoli	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:795] "	17-Dec-15	129358		795	1	187		1		Not in UK						18-24	27								
Phytophthora pini	1925	ITS	1	FJ392322	Phytophthora_citricola_I	" Hong,C. title: Phytophthora citricola I and II constitute two distint new species as indicated by DNA fingerprinting and sequence analyses journal: Unpublished medline id:  pubmed id:  comment:  location: [0:761] "	30-Jan-09	658425	Yes	761	1	151		2		Not in UK															
Phytophthora pinifolia	2008	ITS	1	EU725805	Phytophthora_pinifolia	" Duran,A., Gryzenhout,M., Slippers,B., Ahumada,R., Rotella,A., Flores,F., Wingfield,B.D. and Wingfield,M.J. title: Phytophthora pinifolia sp. nov. associated with a serious needle disease of Pinus radiata in Chile journal: Plant Pathol. 57, 715-727 (2008) medline id:  pubmed id:  comment:  location: [0:811] "	23-Jul-08	538568	Yes	811	1	189		6		Not in UK	Chile	Pinus radiata	Forests		Pinus radiata in Chile 	13-18	20								
Phytophthora pisi	2013	ITS	1	HQ894398	Phytophthora_pisi_isolate	" Heyman,F., Blair,J.E., Persson,L. and Wikstrom,M. title: Root rot of pea and faba bean in southern Sweden caused by Phytophthora pisi, sp. nov. journal: Plant Dis. 97 (4), 461-471 (2013) medline id:  pubmed id:  comment:  location: [0:821] "	12-Mar-14	1131323	NO	821	1	194	"updated from HQ894394, as this was truncated"	7		Not in UK	Sweden	Pea and Bean	Farmed land		Pea and bean crops in Sweden	20-32	32-37								
Phytophthora pisi	2013	ITS	1	HQ894399	Phytophthora_pisi_isolate	" Heyman,F., Blair,J.E., Persson,L. and Wikstrom,M. title: Root rot of pea and faba bean in southern Sweden caused by Phytophthora pisi, sp. nov. journal: Plant Dis. 97 (4), 461-471 (2013) medline id:  pubmed id:  comment:  location: [0:821] "	12-Mar-14	1131323		827	1	200	"updated from HQ894398, as this was truncated"	7		Not in UK	Sweden	Pea and Bean	Farmed land		Pea and bean crops in Sweden	20-32	32-37								
Phytophthora pistaciae	2001	ITS	1	AF403505	Phytophthora_pistaciae_PIS12	" Mirabolfathy,M., Cooke,D.E.L., Duncan,J.M., Williams,N.A., Ershad,D. and Alizadeh,A. title: Phytophthora pistaciae sp. nov. and P. melonis: the principal causes of pistachio gummosis in Iran journal: Mycol. Res. 105 (10), 1166-1175 (2001) medline id:  pubmed id:  comment:  location: [0:826] "	21-Dec-01	174576		826	1	199	DNA data only IGB - caution needed	7	b	Scotland	Single finding	Water only	n/a	DNA only	Pistachio trees not present so likely to be related species										
Phytophthora plurivora	2009	ITS	1	FJ665225	Phytophthora_plurivora	" Jung,T. and Burgess,T.I. title: Re-evaluation of Phytophthora citricola isolates from multiple woody hosts in Europe and North America reveals a new species, Phytophthora plurivora sp. nov journal: Persoonia 22, 95-110 (2009) medline id:  pubmed id: 20198142 comment:  location: [0:761] "	29-Apr-09	639000	Yes	761	1	151	"AS nursery survey, ECN"	2		Scotland	Limited	Ornamentals	Nursery		Also reported by DNA barcode in river in the Cairngorms			FJ665236							
Phytophthora pluvialis	2013	ITS	1	KC529657	Phytophthora_pluvialis	" Reeser,P.W., Sutton,W. and Hansen,E.M. title: Phytophthora pluvialis, a new species found in mixed tanoak-Douglas-fir forests of western Oregon, USA journal: N Am Fungi 8 (7), 1-8 (2013) medline id:  pubmed id:  comment: Publication Status: Online-Only location: [0:1168] "	14-May-13	1330343	Yes	1168	378	551		3		Not in UK	USA	"water, soil, canopy drip"	Forests		"Streams, soil and canopy drip, Oregon, USA"	15-20	25								
Phytophthora polonica	2006	ITS	1	DQ396409	Phytophthora_polonica_isolate	" Belbahri,L., Moralejo,E., Calmin,G., Oszako,T., Garcia,J.A., Descals,E. and Lefort,F. title: Phytophthora polonica, a new species isolated from declining Alnus glutinosa stands in Poland journal: FEMS Microbiol. Lett. 261 (2), 165-174 (2006) medline id:  pubmed id: 16907716 comment:  location: [0:813] "	27-Jul-06	374175	Yes	813	1	177		9	a	Not in UK	Poland														
Phytophthora polygoni	1922	ITS	1	na					NO					na		Not in UK															
Phytophthora porri	1931	ITS	1	KC478749	Phytophthora_porri	" Bertier,L., Brouwer,H., de Cock,A.W., Cooke,D.E., Olsson,C.H. and Hofte,M. title: The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops journal: Persoonia 31, 63-76 (2013) medline id:  pubmed id: 24761035 comment:  location: [0:805] "	26-Jun-13	129359	Yes	805	1	168	Foister 1931	8	b	Scotland	Widespread	Leek	Farmed land		Originally isolated in Scotland so considered widespread	15-18	20	KC478719							
Phytophthora primulae	1952	ITS	1	KC478752	Phytophthora_primulae	" Bertier,L., Brouwer,H., de Cock,A.W., Cooke,D.E., Olsson,C.H. and Hofte,M. title: The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops journal: Persoonia 31, 63-76 (2013) medline id:  pubmed id: 24761035 comment:  location: [0:806] "	26-Jun-13	129360	Yes	806	1	169	likely	8	b	Scotland	Single finding	Water only	n/a	DNA only	European pathogen of Primula family	15-21	27	KC478722							
Phytophthora pseudocryptogea	2016	ITS	1	KY212008	Phytophthora_pseudocryptogea	" Burgess,T.I. title: Phytophthora in natural ecosystems journal: Unpublished medline id:  pubmed id:  comment:  location: [0:798] "	05-Aug-17	1821206	Yes	798	1	174		8	a	Not in UK					Aubergine (Iran) and W Australian hosts			KP288342							
Phytophthora pseudosyringae	2003	ITS	1	AY230190	Phytophthora_pseudosyringae_internal	" Jung,T., Nechwatal,J., Cooke,D.E., Hartmann,G., Blaschke,M., Osswald,W.F., Duncan,J.M. and Delatour,C. title: Phytophthora pseudosyringae sp. nov., a new species causing root and collar rot of deciduous tree species in Europe journal: Mycol. Res. 107 (Pt 7), 772-789 (2003) medline id:  pubmed id: 12967204 comment:  location: [0:789] "	10-Sep-03	221518	Yes	789	1	174	"AS nursery survey, ECN samples"	3		Scotland	Limited	Ornamentals	Nursery		Also reported by DNA barcode in two water samples 	21-24	25	"Pieris, Magnolia"							
Phytophthora pseudotsugae	1983	ITS	1	AF266774	Phytophthora_pseudotsugae	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:792] "	17-Dec-15	53987		792	1	184		1		Not in UK						18-24	27								
Phytophthora psychrophila	2002	ITS	1	AF449494	Phytophthora_psychrophila_isolate	" Jung,T., Hansen,E., Winton,L., Osswald,W. and Delatour,C. title: Three new species of Phytophthora from European oak forests journal: Mycol. Res. (2002) In press medline id:  pubmed id:  comment:  location: [0:818] "	17-Dec-01	180901	Yes	818	27	201		3		Not in UK						15-21	21								
Phytophthora quercetorum	2008	ITS	1	EF539174	Phytophthora_quercetorum_isolate	" Balci,Y., Balci,S., Blair,J.E., Park,S.-Y., Kang,S. and MacDonald,W. title: Phytophthora quercetorum sp. nov., a novel species isolated from eastern and north-central US oak forest soils journal: Unpublished medline id:  pubmed id:  comment:  location: [0:850] "	19-Oct-07	459883	Yes	850	18	197		4		Not in UK	USA	Oak forests	Forests		Bait soils beneath oak										
Phytophthora quercina	1999	ITS	1	AJ131986	Phytophthora_quercina_5.8S	" Cooke,D.E.L., Jung,T., Williams,N.A., Schubert,R., Bahnweg,G., Oswald,W. and Duncan,J.M. title: Molecular evidence supports Phytophthora quercina as a distinct species journal: Unpublished medline id:  pubmed id:  comment:  location: [0:804] "	01-Jul-99	78236	Yes	804	1	185	new clade defined. Same ITS1 as Phytophthora versiformis. Clade changed to 4 from 10 doi:10.5598/imafungus.2017.08.02.09	4		Scotland	Widespread	Oaks	Multiple		Not widely reported - limited survey suggested prevalent	21-24	25								
Phytophthora quininea	1947	ITS	1	HQ261661	Phytophthora_quininea_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:795] "	22-Jun-12	134455	Yes	795	1	147		9		Not in UK															
Phytophthora ramorum	2001	ITS	1	JQ653034	Phytophthora_ramorum_isolate	" Van Poucke,K., Franceschini,S., Webber,J.F., Vercauteren,A., Turner,J.A., McCracken,A.R., Heungens,K. and Brasier,C.M. title: Discovery of a fourth evolutionary lineage of Phytophthora ramorum: EU2 journal: Fungal Biol 116 (11), 1178-1191 (2012) medline id:  pubmed id: 23153808 comment:  location: [0:869] "	16-Oct-12	164328	Yes	869	33	202		8	c	Scotland	Widespread	Forest trees	Forests		Also found on ornamentals and wild Rhododendron	15-21	27								
Phytophthora richardiae	1927	ITS	1	AF271221	Phytophthora_richardiae_internal	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:797] "	24-Jul-00	127443		797	1	148		9		Not in UK															
Phytophthora riparia	2012	ITS	1	HM004225	Phytophthora_riparia_isolate	" Reeser,P.W., Sutton,W., Hansen,E.M., Remigi,P. and Adams,G.C. title: Phytophthora species in forest streams in Oregon and Alaska journal: Mycologia 103 (1), 22-35 (2011) medline id:  pubmed id: 20943547 comment:  location: [0:1193] "	29-Jan-13	1185511	Yes	1193	378	570	DNA evidence IGB	6		Scotland	Limited	Water only	Water 	DNA only	Reported from rivers in Alaska - no known host	30	35								
Phytophthora rosacearum	2009	ITS	1	EU925376	Phytophthora_rosacearum_isolate	" Hansen,E.M., Wilcox,W.F., Reeser,P.W. and Sutton,W. title: Phytophthora rosacearum and P. sansomeana, new species segregated from the Phytophthora megasperma 'complex' journal: Mycologia 101 (1), 129-135 (2009) medline id:  pubmed id: 19271675 comment:  location: [0:1202] "	11-Aug-09	244167	Yes	1202	378	572	DNA data only IGB	6		Scotland	Single finding	Water only	n/a	DNA only	Reported from Rosaceous tree hosts in USA Apple-Cherry type										
Phytophthora rubi	2007	ITS	1	AF266761	Phytophthora_rubi	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:832] "	17-Dec-15	129364		832	1	199		7	a	Scotland	Widespread	Raspberry	Farmed land		Cause of raspberry root rot 	15-21	27								
Phytophthora sansomeana	2009	ITS	1	EU925375	Phytophthora_sansomeana_isolate	" Hansen,E.M., Wilcox,W.F., Reeser,P.W. and Sutton,W. title: Phytophthora rosacearum and P. sansomeana, new species segregated from the Phytophthora megasperma 'complex' journal: Mycologia 101 (1), 129-135 (2009) medline id:  pubmed id: 19271675 comment:  location: [0:1177] "	11-Aug-09	555429	Yes	1177	378	551		8	a	Not in UK	USA	Soybean			Former DF megasperma also found on soyabean										
Phytophthora siskiyouensis	2008	ITS	1	EF523386	Phytophthora_siskiyouensis_isolate	" Reeser,P.W., Hansen,E.M. and Sutton,W. title: Phytophthora siskiyouensis, a new species from soil, water, myrtlewood (Umbellularia californica) and tanoak (Lithocarpus densiflorus) in southwestern Oregon journal: Mycologia 99 (5), 639-643 (2007) medline id:  pubmed id: 18268898 comment:  location: [0:1131] "	11-Aug-09	436079	Yes	1131	378	517		2		UK	Single finding	Alder	Forests		Reported causing lesions on trunks of alder 										
